MID,Title,Description,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,PID,DID
64,Fifty Shades of Grey,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",2015,125,4.1,244474,166.15,46,164,D55
65,The Prestige,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,2006,130,8.5,913152,53.08,66,165,D55
66,Kingsman: The Secret Service,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",2014,129,7.7,440209,128.25,58,166,D55
67,Patriots Day,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",2016,133,7.4,39784,31.86,69,167,D55
68,Mad Max: Fury Road,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",2015,120,8.1,632842,153.63,90,168,D55
69,Wakefield,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,2016,106,7.5,291,0.01,61,169,D56
70,Deepwater Horizon,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",2016,107,7.2,89849,61.28,68,170,D57
71,The Promise,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",2016,133,5.9,149791,82.95637615,49,171,D58
72,Allied,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",2016,124,7.1,78079,40.07,60,172,D59
73,A Monster Calls,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,2016,108,7.5,39134,3.73,76,173,D60
74,Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016,97,6.8,43977,30.98,23,174,D61
75,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,108,8.1,296853,341.26,78,175,D62
76,Pirates of the Caribbean: At World's End,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",2007,169,7.1,498821,309.4,50,176,D63
77,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,2012,143,8.1,1045588,623.28,69,177,D64
78,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,153,8.3,959065,120.52,69,178,D65
79,Pirates of the Caribbean: Dead Man's Chest,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",2006,151,7.3,552027,423.03,53,179,D66
80,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016,116,5.3,147717,128.34,60,180,D67
81,Inception,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",2010,148,8.8,1583625,292.57,74,181,D68
82,Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",2016,118,7.9,105081,5.88,72,182,D68
83,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,180,8.2,865134,116.87,75,183,D69
84,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014,149,8.1,636243,167.74,79,184,D69
85,Furious Seven,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,2015,137,7.2,301249,350.03,67,185,D70
86,Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",2015,124,7,455169,652.18,59,186,D70
87,Live by Night,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",2016,129,6.4,27869,10.38,49,187,D70
88,Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,2009,162,7.8,935408,760.51,83,188,D70
89,The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",2015,187,7.8,341170,54.12,68,189,D71
90,The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",2016,128,7.4,162122,86.2,51,190,D72
91,Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013,153,8.1,431185,60.96,74,191,D72
92,Warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",2016,123,7,187547,47.17,32,192,D72
93,The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",2011,146,8.1,342429,169.71,62,193,D73
94,War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",2016,114,7.1,106463,43.02,57,194,D73
95,Avengers: Age of Ultron,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",2015,141,7.4,516895,458.99,66,195,D74
96,The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",2016,116,7.4,175067,36.25,70,196,D75
97,Kimi no na wa,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",2016,106,8.6,34110,4.68,79,197,D76
98,The Void,"Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",2016,90,5.8,9247,0.15,62,198,D77
99,Personal Shopper,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,2016,105,6.3,10181,1.29,77,199,D77
100,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,151,8.5,937414,132.37,85,200,D78
101,Legend,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,2015,132,7,108836,1.87,55,201,D79
102,Thor,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",2011,115,7,570814,181.02,57,202,D80
103,The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",2015,144,8,556097,228.43,80,203,D81
104,Contratiempo,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.,2016,106,7.9,7204,82.95637615,58.98504274,204,D82
105,The Man from U.N.C.L.E.,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",2015,116,7.3,202973,45.43,56,205,D82
106,Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,2016,102,7.7,115546,26.86,88,206,D83
107,The Comedian,A look at the life of an aging insult comic named Jack Burke.,2016,120,5.4,1954,1.66,40,207,D83
108,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016,110,6.3,117590,126.59,44,208,D83
109,All We Had,A mother struggles to make a better life for her daughter.,2016,105,5.8,1004,82.95637615,48,209,D84
110,Ex Machina,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,2014,108,7.7,339797,25.44,78,210,D85
111,The Belko Experiment,"In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",2016,89,6.3,3712,10.16,44,211,D86
112,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2013,134,8.1,486338,56.67,96,212,D87
113,The Bad Batch,A dystopian love story in a Texas wasteland and set in a community of cannibals.,2016,118,6.1,512,82.95637615,65,213,D87
114,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,2006,117,7.7,637104,210.59,52,214,D88
115,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2011,130,8.1,590595,380.96,87,215,D88
116,Office Christmas Party,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",2016,105,5.8,30761,54.73,42,216,D89
117,The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",2016,118,6.2,50359,1.33,51,217,D90
118,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2016,161,8.8,48969,11.15,58.98504274,218,D91
119,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016,104,7.2,192968,71.9,76,219,D92
120,Finding Dory,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",2016,97,7.4,157026,486.29,77,220,D92
121,Miss Peregrine's Home for Peculiar Children,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",2016,127,6.7,101058,87.24,57,221,D92
122,Divergent,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",2014,139,6.7,362093,150.83,48,222,D93
123,Mike and Dave Need Wedding Dates,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",2016,98,6,53183,46.01,51,223,D93
124,Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.",2016,86,7.4,10428,82.95637615,58.98504274,224,D94
125,The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",2012,164,8.5,1222645,448.13,78,225,D95
126,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",2016,106,7.5,198243,364,77,226,D96
127,Transformers: Age of Extinction,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",2014,165,5.7,255483,245.43,32,227,D97
128,Nerve,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",2016,96,6.6,69651,38.56,58,228,D98
129,Mamma Mia!,The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.,2008,108,6.4,153481,143.7,51,229,D99
130,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,2015,156,8,499424,183.64,76,230,D100
131,Fences,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",2016,139,7.3,50953,57.64,79,231,D101
132,Into the Woods,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,2014,125,6,109756,128,69,232,D102
133,The Shallows,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",2016,86,6.4,78328,55.12,59,233,D103
134,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,107,8.5,477276,13.09,88,234,D104
135,Furious 6,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",2013,130,7.1,318051,238.67,61,235,D104
136,The Place Beyond the Pines,"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",2012,140,7.3,200090,21.38,68,236,D105
137,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,122,8.1,660286,74.27,91,237,D106
138,The Great Gatsby,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",2013,143,7.3,386102,144.81,55,238,D107
139,Shutter Island,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",2010,138,8.1,855604,127.97,63,239,D108
140,Brimstone,"From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger.",2016,148,7.1,13004,82.95637615,44,240,D109
141,Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,2009,127,8,526324,257.7,82,241,D110
142,Diary of a Wimpy Kid,"The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",2010,94,6.2,34184,64,56,242,D111
143,The Big Short,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.",2015,130,7.8,246360,70.24,81,243,D112
144,Room,A young boy is raised within the confines of a small shed.,2015,118,8.2,224132,14.68,86,244,D112
145,Django Unchained,"With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,165,8.4,1039115,162.8,81,245,D113
146,Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",2016,144,8.1,33418,2.01,84,246,D114
147,The Edge of Seventeen,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",2016,104,7.4,47694,14.26,77,247,D115
148,Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",2009,162,7.6,410249,107.5,56,248,D116
149,Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,2007,113,7.6,442082,121.46,76,249,D116
150,Inferno,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",2016,121,6.2,97623,34.26,42,250,D117
151,The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",2016,117,6.4,50853,55.47,66,251,D117
152,The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2012,142,7.2,735604,408,68,252,D117
153,White Girl,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",2016,88,5.8,4299,0.2,65,253,D117
154,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,2015,121,7.6,243230,46.88,82,254,D117
155,Twin Peaks: The Missing Pieces,Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.,2014,91,8.1,1973,82.95637615,58.98504274,255,D118
156,Aliens vs Predator - Requiem,"Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",2007,94,4.7,97618,41.8,29,256,D118
157,Pacific Rim,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",2013,131,7,400519,101.79,64,257,D119
